身份證,名字,電話,餐廳,餐廳地址,取餐方式,取餐地點
940875015,雅素齋自然人文蔬食館,940875015,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,餐廳,300新竹市東區光復路二段214號
D199895462,鄧怡君,940875015,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區食品路66號
E196819809,林佳蓉,992366382,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區新安路5號
C296920727,張嘉凱,950406516,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區食品路66號
A194421941,葉昱瑞,964995881,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區中央路345號
E294056931,陸方皓,940360858,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,308新竹縣寶山鄉創新一路1之2號
G193413281,郭家友,942349838,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,308新竹縣寶山鄉創新一路1之2號
F298131981,呂宇軒,941470789,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區食品路331號
E291516789,郭淑惠,964444746,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區自由路10號
H193570666,林曉芷,942794823,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市北區中山路75號
C299697038,黃初斌,966684874,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區食品路331號
F299279766,許馥翰,979011430,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區自由路10號
G297346050,楊志為,980336801,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區園區二路9號
D197523892,權育儒,997123331,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區篤行一路1號
H293394739,林紫慈,973661026,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市北區中山路75號
B197729427,張向治,959603186,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區中央路345號
C191931282,馮皇冰,967091883,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市北區中山路75號
C194039927,陳寧忠,940923870,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市北區中山路75號
C195751940,廖嘉祥,941770882,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區食品路331號
C192537288,吳怡君,900185529,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,308新竹縣寶山鄉研發二路2號
D194023813,陳愛伸,975154909,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區南大路569號
G199993199,柳延亮,979306315,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區園區二路9號
F293179892,孫素智,959965339,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,自取,300新竹市東區光復路二段214號
E193633334,張育平,957908311,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區篤行一路1號
G299150365,陳雅芳,944896775,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區篤行一路1號
B194112297,陳台利,999895360,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區篤行一路1號
H298358046,侯得名,901102211,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,自取,300新竹市東區光復路二段214號
B292553283,柯哲維,941237078,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區自由路10號
C294576972,賴慧敏,908142597,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,自取,300新竹市東區光復路二段214號
A298306385,姚有禎,998150741,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,300新竹市東區園區二路9號
G193499030,陳偉倫,947392852,雅素齋自然人文蔬食館,300新竹市東區光復路二段214號,外送,308新竹縣寶山鄉研發二路2號
